AUC,Accuracy,Business Score,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
0.6637532128645278,0.8672605368160287,4440.6,50,5,10,4,log2
0.6637532128645278,0.8672605368160287,4440.6,50,5,10,4,log2
0.6641904201768216,0.867851766903071,4446.0,50,5,2,1,log2
0.6684978966058305,0.8752426069802528,4458.6,150,5,6,1,log2
0.6670329810528958,0.8733702273050495,4479.0,100,5,10,4,log2
0.6690127352104214,0.8877905839983307,4517.2,50,6,10,4,log2
0.6690127352104214,0.8877905839983307,4517.2,50,6,10,4,log2
0.6789753960761941,0.8949186767288291,4580.0,150,7,6,2,log2
0.6722843442570454,0.8917651582559101,4595.6,100,7,6,5,log2
0.6763477654748332,0.899747449624266,4631.6,50,7,4,1,sqrt
0.6763477654748332,0.899747449624266,4631.6,50,7,4,1,sqrt
0.6884187536557234,0.9094046986778899,4706.0,150,8,6,2,sqrt
0.6906888541242403,0.9110798883577352,4766.0,100,9,6,2,sqrt
0.6999988369018377,0.9146275062697884,4798.4,150,10,2,3,sqrt
0.6975494086776697,0.9144960786442192,4804.6,150,10,8,5,sqrt
