AUC,Accuracy,Business Score,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
0.6640988038975406,0.8673258783584453,4418.6,100,5,6,4,sqrt
0.6640988038975406,0.8673258783584453,4418.6,100,5,6,4,sqrt
0.6621952346665697,0.8634169801470911,4419.0,50,5,10,4,sqrt
0.6619804108945497,0.8640081940484651,4419.0,50,5,6,4,sqrt
0.6641748191593884,0.8683769756496333,4426.6,100,5,6,3,sqrt
0.6531722152602496,0.8591137882685846,4429.0,100,5,4,2,log2
0.6637024970216151,0.8770819786828274,4443.8,150,6,10,1,log2
0.663141439946174,0.8778374879066083,4462.6,150,6,8,4,log2
0.6718451814369676,0.8797427946260992,4492.4,100,6,6,5,sqrt
0.6757005718315978,0.889170212586882,4521.4,50,7,2,1,sqrt
0.6775962748032309,0.893046270077512,4535.6,150,7,2,1,sqrt
0.6696489891040969,0.8931118274288374,4562.2,100,8,10,2,log2
0.678174051026464,0.8953455683316829,4575.6,50,8,8,5,sqrt
0.6829838064341243,0.9037545354939833,4639.6,50,9,8,1,sqrt
0.6924632576284677,0.9089118612676744,4691.0,150,10,2,1,sqrt
